"wildfire","datetime","city","state","population","latitude","longitude","computed_daynight_sza","brightness","temp_C","wind","humidity","cloud_cover","precipitation","ndvi","elevation","soil_moisture"
0,"2020-06-26 09:59:43.416692",NA,NA,NA,-22.6187093129815,137.004206322668,"N",0,11.8,16.2,37,0,0,0.1906,251,0.0416028201580048
0,"2020-06-07 19:30:00.054331",NA,NA,NA,-25.0227555624434,125.020410456146,"N",0,9.4,22.7,39,0,0,0.1497,511,0.0533173084259033
0,"2020-02-03 21:36:20.35149",NA,NA,NA,-27.3510510219306,124.271998988861,"D",0,22.2,19.3,39,0,0,0.1775,420,0.0980902165174484
0,"2020-05-08 19:40:21.497108",NA,NA,NA,-29.254831951014,133.564670700751,"D",0,13.1,20,78,14,0,0.1257,194,0.0441111698746681
0,"2020-04-16 09:54:07.152168",NA,NA,NA,-20.2051971768604,141.225181390162,"N",0,25.8,7.1,37,0,0,0.1716,90,0.158987864851952
0,"2020-11-04 20:29:27.485524",NA,NA,NA,-21.2070965450047,135.315511375075,"D",0,28.1,35.7,33,0,0,0.2204,390,0.0368243679404259
0,"2020-12-12 18:57:44.864125","Condobolin","New South Wales",2579,-32.1850542275877,146.978915014562,"N",0,22.5,17.5,42,72,0,0.3396,228,0.12024924904108
0,"2020-03-28 10:01:17.517738",NA,NA,NA,-27.6150060127758,121.474598199708,"D",0,27.6,17.3,30,12,0,0.2208,448,0.0714020729064941
0,"2020-07-28 21:31:02.90847","Whyalla","South Australia",21501,-32.580330888149,136.51966496896,"D",0,9.6,10.6,76,6,0,0.2427,256,0.0975881367921829
0,"2020-04-19 18:09:53.607832","Loxton","South Australia",3947,-35.6329167376655,140.599668331427,"N",0,15.9,22,85,99,0.1,0.4083,107,0.0505459755659103
0,"2020-09-02 08:46:32.974399",NA,NA,NA,-17.7774950704319,131.09422400587,"N",0,25.5,8.8,26,0,0,0.1935,228,0.0356261432170868
0,"2020-12-05 20:40:51.23488",NA,NA,NA,-24.7004040019714,132.670082877732,"N",0,24,26.6,36,52,0,0.1728,551,0.0293789748102427
0,"2020-09-23 09:37:57.108298",NA,NA,NA,-29.6656071496356,133.403812933052,"D",0,13.1,19.4,63,0,0,0.1737,156,0.0547281466424465
0,"2020-01-06 09:46:20.639647","Gladstone","Queensland",34703,-23.0951240190539,149.793227455103,"N",0,22.1,9.6,97,99,0,0.2322,86,0.0915665104985237
0,"2020-05-20 09:11:15.945863",NA,NA,NA,-23.2745002030537,147.241825686254,"N",0,16.9,10.8,99,100,0.2,0.2204,400,0.0952645242214203
0,"2020-03-07 17:36:01.354211",NA,NA,NA,-28.2917651445704,132.505274761759,"D",0,24.5,13,31,55,0,0.1878,309,0.0287169553339481
0,"2020-03-26 09:13:35.221208","Toowoomba","Queensland",108398,-27.3298175520835,151.843404031155,"N",0,18.4,15.2,85,45,0,0.5919,515,0.159953832626343
0,"2020-01-09 18:56:23.482836",NA,NA,NA,-18.6373517853806,126.039435378506,"N",0,27.4,14.8,82,95,0,0.2616,259,0.162262812256813
0,"2020-01-20 09:39:56.601663",NA,NA,NA,-18.5164961142055,127.981418159777,"D",0,24.9,7.9,87,78,0,0.2317,335,0.0947816967964172
0,"2020-08-17 20:57:35.59656",NA,NA,NA,-29.8834477988329,140.987554511695,"D",0,12,9.9,71,0,0,0.1604,98,0.101389892399311
0,"2020-07-14 21:13:30.625769",NA,NA,NA,-27.0866469534752,143.283779808807,"D",0,10.9,9.9,75,11,0,0.1624,198,0.0766777917742729
0,"2020-06-21 19:46:32.36773",NA,NA,NA,-26.2595352824753,141.170974342747,"N",0,10.5,11,68,0,0,0.3141,159,0.0588671267032623
0,"2020-02-23 20:14:42.198495","Bourke","New South Wales",1535,-30.4582188478833,144.258027694827,"N",0,22.5,21.4,67,44,0,0.189,96,0.0322361923754215
0,"2020-03-25 09:36:12.454209",NA,NA,NA,-18.7002724835694,138.668162639804,"D",0,27.4,7.6,68,95,0,0.393,129,0.124954000115395
0,"2020-06-15 20:55:06.398044",NA,NA,NA,-22.0687610151303,115.430265581117,"D",0,16,13.7,46,0,0,0.1494,69,0.0381141267716885
0,"2020-02-02 17:51:26.384056",NA,NA,NA,-29.6993613973211,128.806921699069,"D",0,19.1,17.1,64,38,0,0.1945,202,0.0475145503878593
0,"2020-07-22 20:37:56.507564",NA,NA,NA,-22.7431595894928,117.14244007025,"N",0,12.8,6.2,58,1,0,0.2283,570,0.0856228172779083
