"latitude","longitude","brightness","daynight","acq_date","acq_time","daynight.1","type","datetime","city","state","population","wildfire","temp_C","wind","humidity"
37.0008,-119.2585,360.5,"D","2020-09-15",1832,"D",0,"2020-09-15 18:32:00","Shaver Lake","California",355,1,31.7,9.1,17
40.6099,-87.6289,300.2,"D","2020-11-12",1909,"D",0,"2020-11-12 19:09:00","Milford","Illinois",1136,1,7,9.2,57
33.8658,-111.4631,341,"N","2020-06-18",458,"N",0,"2020-06-18 04:58:00","Tonto Basin","Arizona",1593,1,22.9,7.3,22
48.7704,-95.9291,410.6,"D","2020-10-09",1924,"D",0,"2020-10-09 19:24:00","Badger","Minnesota",419,1,13.3,20.8,58
30.2352,-92.1977,309.2,"D","2020-11-18",1655,"D",0,"2020-11-18 16:55:00","Duson","Louisiana",1369,1,20.8,9.1,24
45.8492,-96.7002,337.6,"D","2020-05-15",1710,"D",0,"2020-05-15 17:10:00","Rosholt","South Dakota",430,1,18.5,4.2,35
39.8,-122.6883,315.5,"N","2020-08-25",613,"N",0,"2020-08-25 06:13:00","Paskenta","California",61,1,17.6,2.6,47
33.4847,-109.2728,403,"D","2020-06-17",1756,"D",0,"2020-06-17 17:56:00","Alma","New Mexico",31,1,30.7,22.1,6
32.4199,-110.7726,437.4,"D","2020-06-23",2034,"D",0,"2020-06-23 20:34:00","Summerhaven","Arizona",22,1,26.8,13,10
47.7328,-94.6614,310.3,"N","2020-06-06",436,"N",0,"2020-06-06 04:36:00","Tenstrike","Minnesota",203,1,9.4,7.9,91
44.3078,-115.1157,325.2,"D","2020-09-15",2013,"D",0,"2020-09-15 20:13:00","Stanley","Idaho",281,1,22.5,9.8,17
